Execução,Tempo (s)
1,0.015367
2,0.019555
3,0.013984
4,0.015294
5,0.015187
6,0.014442
7,0.016656
8,0.022656
9,0.014257
10,0.015559
11,0.013225
12,0.015003
13,0.015635
14,0.015445
15,0.014881
16,0.015116
17,0.013657
18,0.018990
19,0.013958
20,0.018251
21,0.014037
22,0.016781
23,0.013999
24,0.016920
25,0.014154
26,0.016530
27,0.013782
28,0.016173
29,0.015890
30,0.016653
Média,0.015734
