Execução,Tempo (s)
1,0.013612
2,0.018107
3,0.012866
4,0.016972
5,0.013060
6,0.015950
7,0.012137
8,0.021254
9,0.016513
10,0.015205
11,0.012155
12,0.015836
13,0.012871
14,0.019644
15,0.013440
16,0.017199
17,0.013145
18,0.017640
19,0.013257
20,0.017264
21,0.012895
22,0.018210
23,0.012440
24,0.013705
25,0.014080
26,0.012593
27,0.015150
28,0.012764
29,0.016851
30,0.013104
Média,0.014997
