Execução,Tempo (s)
1,0.027492
2,0.022890
3,0.027053
4,0.021633
5,0.033275
6,0.030604
7,0.024084
8,0.024407
9,0.021658
10,0.022659
11,0.019825
12,0.021477
13,0.020652
14,0.024284
15,0.023440
16,0.022119
17,0.022416
18,0.022507
19,0.021551
20,0.023523
21,0.021563
22,0.022031
23,0.021170
24,0.023118
25,0.022211
26,0.021785
27,0.020635
28,0.021831
29,0.019773
30,0.020856
Média,0.023084
