Execução,Tempo (s)
1,0.071127
2,0.050508
3,0.040347
4,0.037181
5,0.039629
6,0.037599
7,0.036234
8,0.036671
9,0.041623
10,0.035641
11,0.034247
12,0.040654
13,0.039955
14,0.034682
15,0.030993
16,0.030643
17,0.035722
18,0.034915
19,0.033396
20,0.034775
21,0.031823
22,0.031741
23,0.031110
24,0.030890
25,0.030289
26,0.031556
27,0.031408
28,0.031027
29,0.033227
30,0.031170
Média,0.036359
